"project_id","project_name","discipline_name"
273373,"GRK 748:  Risiko und Liquidität in Finanz-, Güter- und Faktormärkten","Wirtschaftswissenschaften"
273397,"GRK 760:  Medizinische Chemie: Molekulare Erkennung - Ligand-Rezeptor-Wechselwirkungen","Medizin"
273397,"GRK 760:  Medizinische Chemie: Molekulare Erkennung - Ligand-Rezeptor-Wechselwirkungen","Grundlagen der Biologie und Medizin"
273409,"GRK 765:  Märkte und Sozialräume in Europa","Rechtswissenschaften"
273409,"GRK 765:  Märkte und Sozialräume in Europa","Sozialwissenschaften"
273409,"GRK 765:  Märkte und Sozialräume in Europa","Wirtschaftswissenschaften"
273443,"GRK 782:  Spektroskopie und Dynamik molekularer Knäuel und Aggregate","Polymerforschung"
273471,"GRK 792:  Nichtlineare Optik und Ultrakurzzeitphysik","Optik, Quantenoptik und Physik der Atome, Moleküle und Plasmen"
273487,"GRK 801:  Markets, Institutions, and the Scope of Government","Wirtschaftswissenschaften"
273507,"GRK 807:  Europäische Geschichtsdarstellungen","Geschichtswissenschaften"
273507,"GRK 807:  Europäische Geschichtsdarstellungen","Sprachwissenschaften"
273519,"GRK 820:  Natürliche Antioxidantien - ihr Wirkungsspektrum in Pflanzen, Lebensmitteln, Tier und Mensch","Grundlagen der Biologie und Medizin"
273527,"GRK 826:  Spurenanalytik von Elementspezies: Methodenentwicklungen und Anwendungen","Analytik, Methodenentwicklung (Chemie)"
273535,"GRK 828:  Mikro-Makro-Wechselwirkungen in strukturierten Medien und Partikelsystemen","Produktionstechnik"
273539,"GRK 829:  Akkumulation von einzelnen Molekülen zu Nanostrukturen","Physikalische und Theoretische Chemie"
273547,"GRK 838:  Die Figur des Dritten","Literaturwissenschaft"
273551,"GRK 840:  Die Wechselwirkungen zwischen Erreger und Wirt bei generalisierten bakteriellen Infektionen","Grundlagen der Biologie und Medizin"
273571,"GRK 846:  Sklaverei - Knechtschaft und Frondienst - Zwangsarbeit. Unfreie Arbeits- und Lebensformen von der Antike bis zum 20. Jahrhundert","Alte Kulturen"
273603,"GRK 884:  Gruppenbezogene Menschenfeindlichkeit: Ursachen, Phänomenologie, Konsequenzen","Psychologie"
273623,"GRK 894:  Selbstorganisation durch koordinative und nichtkovalente Wechselwirkungen","Molekülchemie"
273623,"GRK 894:  Selbstorganisation durch koordinative und nichtkovalente Wechselwirkungen","Physikalische und Theoretische Chemie"
273627,"GRK 895:  Informationswirtschaft und Market Engineering - Ökonomisches, informationstechnisches und rechtliches Design von Institutionen, Diensten, Systemen und Geschäftsmodellen für elektronische Märkte","Rechtswissenschaften"
273627,"GRK 895:  Informationswirtschaft und Market Engineering - Ökonomisches, informationstechnisches und rechtliches Design von Institutionen, Diensten, Systemen und Geschäftsmodellen für elektronische Märkte","Wirtschaftswissenschaften"
273631,"GRK 896:  Götterbilder - Gottesbilder - Weltbilder: Polytheismus und Monotheismus in der Welt der Antike","Alte Kulturen"
273631,"GRK 896:  Götterbilder - Gottesbilder - Weltbilder: Polytheismus und Monotheismus in der Welt der Antike","Außereuropäische Sprachen und Kulturen, Sozial- und Kulturanthropologie, Judaistik und Religionswissenschaft"
372679,"GRK 1012:  Pfade organisatorischer Prozesse","Wirtschaftswissenschaften"
372729,"GRK 1013:  Prospektive Gestaltung von Mensch-Technik-Interaktion (prometei)","Systemtechnik"
372729,"GRK 1013:  Prospektive Gestaltung von Mensch-Technik-Interaktion (prometei)","Produktionstechnik"
372729,"GRK 1013:  Prospektive Gestaltung von Mensch-Technik-Interaktion (prometei)","Psychologie"
373214,"GRK 1023:  Identifikation in mathematischen Modellen: Synergie stochastischer und numerischer Methoden","Mathematik"
373314,"GRK 1024:  Interdisziplinäre Umweltgeschichte - Naturale Umwelt und gesellschaftliches Handeln in Mitteleuropa","Geschichtswissenschaften"
374400,"GRK 1032:  Statistische Modellbildung","Mathematik"
374400,"GRK 1032:  Statistische Modellbildung","Wirtschaftswissenschaften"
374837,"GRK 1037:  Steuerbare integrierbare Komponenten der Mikrowellentechnik und Optik","Elektrotechnik"
375234,"GRK 1047:  Generationenbewusstsein und Generationenkonflikte in Antike und Mittelalter","Alte Kulturen"
375234,"GRK 1047:  Generationenbewusstsein und Generationenkonflikte in Antike und Mittelalter","Geschichtswissenschaften"
375788,"GRK 1051:  Nichtgleichgewichtsphänomene in Niedertemperaturplasmen: Diagnostik - Modellierung - Anwendungen","Physik der kondensierten Materie"
375986,"GRK 1052:  Darstellungstheorie und ihre Anwendungen in Mathematik und Physik","Mathematik"
425187,"GRK 1070:  Modellierung von Stoffflüssen und Produktionssystemen für eine nachhaltige Ressourcennutzung in intensiven Acker- und Gemüsebausystemen der Nordchinesischen Tiefebene","Agrar-, Forstwissenschaften, Gartenbau und Tiermedizin"
451665,"GRK 1096:  Seehäfen für Containerschiffe zukünftiger Generationen: Interaktion von Schiff, Fluid, Struktur und Boden","Bauwesen und Architektur"
451665,"GRK 1096:  Seehäfen für Containerschiffe zukünftiger Generationen: Interaktion von Schiff, Fluid, Struktur und Boden","Mechanik und Konstruktiver Maschinenbau"
453162,"GRK 1100:  Modellierung, Analyse und Simulation in der Wirtschaftsmathematik","Mathematik"
454969,"GRK 1102:  Physik an Hadron-Beschleunigern","Teilchen, Kerne und Felder"
455518,"GRK 1103:  Eingebettete Mikrosysteme","Informatik"
455518,"GRK 1103:  Eingebettete Mikrosysteme","Systemtechnik"
795951,"GRK 1148:  Geistiges Eigentum und Gemeinfreiheit","Rechtswissenschaften"
823996,"GRK 1213:  Neue Methoden für Nachhaltigkeit in Katalyse und Technik","Biologische Chemie und Lebensmittelchemie"
823996,"GRK 1213:  Neue Methoden für Nachhaltigkeit in Katalyse und Technik","Molekülchemie"
949699,"GRK 1221:  Steuerung elektronischer Eigenschaften von Aggregaten pi-konjugierter Moleküle","Molekülchemie"
949699,"GRK 1221:  Steuerung elektronischer Eigenschaften von Aggregaten pi-konjugierter Moleküle","Physikalische und Theoretische Chemie"
950034,"GRK 1229:  Stabile und metastabile Mehrphasensysteme bei hohen Anwendungstemperaturen","Materialwissenschaft"
950034,"GRK 1229:  Stabile und metastabile Mehrphasensysteme bei hohen Anwendungstemperaturen","Werkstofftechnik"
968378,"GRK 1253:  Verarbeitung emotional relevanter Reize: Von den molekularen Grundlagen zur Empfindung","Psychologie"
968509,"GRK 1257:  Alteration und Elementmobilisierung an Mikroben-Mineral-Grenzflächen","Geochemie, Mineralogie und Kristallographie"
968509,"GRK 1257:  Alteration und Elementmobilisierung an Mikroben-Mineral-Grenzflächen","Wasserforschung"
969654,"GRK 1276:  Strukturbildung und Transport in komplexen Systemen","Physik der kondensierten Materie"
4976624,"Mittelrheinischer Sprachatlas","Einzelsprachwissenschaften"
5075512,"Faseroptische und mikrowellentechnische Sensoren für ein in-situ-Meßdatenerfassungssystem (Kennwort: Sensorik) (C 1)","Messsysteme"
5076624,"Molekulare Pathogenese hereditärer Salzverlust-Tubulopathien, insbesondere des Hyperprostaglandin E-Syndroms (antenatales Bartter-Syndrom)","Kinder- und Jugendmedizin"
5078646,"Einfluß von Spontanatmung unter partieller Flüssigkeitsbeatmung (PLV) auf die Hämodynamik am Versuchstier mit und ohne Lungenerkrankung","Kinder- und Jugendmedizin"
5083502,"Erstellung und Expressionsanalyse von transgenen Schweinen für die Xenotransplantation (B15)","Pathologie und Gerichtliche Medizin"
5083518,"Die Rolle von Endothel und Hypertonus in der chronischen Nierentransplantat-Dysfunktion (C 8)","FK Medizin"
5089662,"Transportproteine in Plasmamembrandomänen des Hepatozyten (A 2)","Biochemie"
5089668,"Untersuchungen zur Funktion des Hämochromatosegens HLA-H bei der Regulation der intestinalen Eisenaufnahme (A 3)","FK Medizin"
5090784,"Diagnostik von reaktiven Plasmen in gepulsten Entladungen (B 8)","Optik, Quantenoptik, Physik der Atome, Moleküle und Plasmen"
5091320,"Entwicklung und Erprobung eines multifunktionellen intravasalen Meßsystems zur telemetrischen Erfassung medizinischer Kenngrößen","Radiologie und Nuklearmedizin"
5092282,"Einfluss von Proteinase 3 und Elastase auf T-Zell-vermittelte Prozesse bei ANCA-assoziierten Vaskulitiden (B18)","Nephrologie"
5092346,"Untersuchung der Entstehung und Beeinflussung von Frühstadien der Entstehung aseptischer Endoprothesenlockerungen in einem Wistarratten-Modell (B12)","Unfallchirurgie und Orthopädie"
5092548,"KTB/ICDP-Schwerpunktkoordinierung und -Büro","Geologie, Ingenieurgeologie, Paläontologie"
5092612,"Einsatz der regionalen Hyperthermie zusammen mit externer Radiotherapie beim lokal fortgeschrittenen oder rezidivierten Prostatakarzinom (B 5)","Radiologie und Nuklearmedizin"
5092762,"Wechselwirkung zwischen Chemo- und Thermoresistenz in vitro: Charakterisierung der Resistenzmechanismen (C 7)","Radiologie und Nuklearmedizin"
5092816,"Longitudinale in vivo und in vitro Untersuchung molekularer Efektormechanismen in hyperthermierten humanen Tumoren (C10)","Radiologie und Nuklearmedizin"
5093040,"Aspekte der Wasserwechselwirkungen in dispersen Obst- und Gemüse-Modellsystemen","Verfahrens- und Landtechnik"
5095372,"Kognitive Verhaltenstherapie mit schizophrenen Patienten und ihren Angehörigen im postakuten Stadium","Klinische Neurowissenschaften II - Psychiatrie, Psychotherapie, Psychosomatik"
5097264,"Die Kollisionssutur zwischen den archaischen Terranen Kareliens und der Kola-Halbinsel: Rekonstruktion ihrer komplexen Entwicklungsgeschichte im Gebiet des Weißmeeres","Organische und Anorganische Geochemie, Biogeochemie, Mineralogie, Petrologie, Kristallographie, Lagerstättenkunde"
5098483,"Photoinduzierte Anisotropie polymerer Grenzflächen und Photoalignment von Flüssigkristallen","Präparative und Physikalische Chemie von Polymeren"
5102422,"Kollektive Anregungen und Transport in großen Clustern (C17)","Optik, Quantenoptik, Physik der Atome, Moleküle und Plasmen"
5102844,"Ökonomische und ökologische Handlungsoptionen (C 04)","Wirtschafts- und Sozialpolitik"
5105342,"Verarbeitung temporaler und spektraler Eigenschaften des akustischen Sprachsignals im Bereich des perisylviischen Kortex: Magnetenzephalographische und funktionell-kernspintomographische Untersuchungen","FK Zoologie"
5106788,"Spezifikation flexibel anpaßbarer Abläufe in ingenieurwissenschaftlichen Anwendungen","Theoretische Informatik"
5108156,"Erzeugung und zeitliche Charakterisierung ultrakurzer Röntgenimpulse (Thema aktualisiert)","Optik, Quantenoptik, Physik der Atome, Moleküle und Plasmen"
