"project_id","name","address"
15049301,"Entwicklung eines computergestützten Analysesystems zur sonographischen Quantifizierung der Struktur und Morphologie des Intima-Media Komplexes der Ateria carotis communis in Ultraschallsequenzen","Albert-Ludwigs-Universität Freiburg"
15069689,"Räumlich präzise Repositionierung von Knochen in 6 Freiheitsgraden bei der Gesichtsschädelrekonstruktion","Universitätsklinikum Heidelberg"
15069689,"Räumlich präzise Repositionierung von Knochen in 6 Freiheitsgraden bei der Gesichtsschädelrekonstruktion","Karlsruher Institut für Technologie (KIT)"
15070313,"FOR 655:  Priorisierung in der Medizin: Eine theoretische und empirische Analyse unter besonderer Berücksichtigung der Gesetzlichen Krankenversicherung (GKV)","Universitätsklinikum Essen"
15070313,"FOR 655:  Priorisierung in der Medizin: Eine theoretische und empirische Analyse unter besonderer Berücksichtigung der Gesetzlichen Krankenversicherung (GKV)","Jacobs University Bremen gGmbH"
15070313,"FOR 655:  Priorisierung in der Medizin: Eine theoretische und empirische Analyse unter besonderer Berücksichtigung der Gesetzlichen Krankenversicherung (GKV)","Frankfurt School of Finance & Management"
15090044,"Systemunabhängige Referenzprozesse (T01)","Rheinisch-Westfälische Technische Hochschule Aachen"
15090044,"Systemunabhängige Referenzprozesse (T01)","Forschungsinstitut für Rationalisierung e.V. (FIR)"
15111300,"Interdisziplinäre Untersuchungen zum soziokulturellen Wandel während der hochmittelalterlichen 'Ostsiedlung' im ländlichen Raum am Beispiel der Region Penkun, Meckenburg-Vorpommern","Freie Universität Berlin"
15111300,"Interdisziplinäre Untersuchungen zum soziokulturellen Wandel während der hochmittelalterlichen 'Ostsiedlung' im ländlichen Raum am Beispiel der Region Penkun, Meckenburg-Vorpommern","Deutsches Archäologisches Institut (DAI)"
15273496,"Geoarchäologische Rekonstruktion der jungholozänen Landschaftsgeschichte an der Algarve (Südportugal)","Ruprecht-Karls-Universität Heidelberg"
15273496,"Geoarchäologische Rekonstruktion der jungholozänen Landschaftsgeschichte an der Algarve (Südportugal)","Friedrich-Schiller-Universität Jena"
15334555,"Einfluss der Ozeanzirkulation auf das Schwerefeld der Erde","Universität Hamburg"
15334555,"Einfluss der Ozeanzirkulation auf das Schwerefeld der Erde","Technische Universität München"
15499286,"Excited state dynamics in the early stages of the bR and Rh photocycle","Universität Bremen"
15499286,"Excited state dynamics in the early stages of the bR and Rh photocycle","Karlsruher Institut für Technologie (KIT)"
15499286,"Excited state dynamics in the early stages of the bR and Rh photocycle","Universität Regensburg"
