"project_id","year"
823482,2005
4988411,1987
4988440,1990
4988470,1992
4988483,1993
4988728,1990
4988745,1992
5336518,2001
5336530,2001
823996,2005
883210,2006
948344,2006
949699,2006
5004930,1988
5151814,1998
949791,2006
950034,2006
967790,2006
967893,2006
5004985,1995
5151832,1999
968025,2006
968378,2007
968509,2006
968539,2006
5005103,1988
5076474,1998
968612,2006
968710,2006
968940,2006
969236,2006
5076966,1998
5076990,1998
5278380,2000
969654,2006
4924193,1983
4924210,1984
4925246,1983
4925557,1991
4928679,1990
4928730,1993
4930311,1992
4931534,1983
4931554,1983
4931562,1983
4931583,1986
4931591,1986
4931601,1987
4931616,1989
4931635,1990
4931643,1990
4931649,1992
4932156,1992
5032143,1993
4932704,1998
4933822,1986
4937279,1989
4937768,1992
4941181,1994
4941844,1989
4941857,1990
4942745,1983
5044242,1991
5046134,1992
5046148,1992
5137634,1999
4944555,1993
4947034,1990
4948471,1991
4948607,1993
4948670,1983
4951000,1987
4951019,1988
4951668,1999
5046739,1993
5278392,2001
4951828,1994
4952076,1994
4954428,1993
4955379,1991
4956861,1987
4959183,1988
4960466,1992
5048059,1990
5048134,1999
5338634,1997
5338640,1997
5338646,1987
4972310,1993
4973887,1992
4975011,1992
4976350,1997
4976589,1989
4976624,1983
4978006,1992
4981130,1992
4982433,1983
4989213,2000
4989225,1994
4991552,1996
4992156,1992
4992185,1992
4992372,1991
4994348,1992
4998719,1992
4998874,1996
5000734,1993
5004634,1994
5004901,1985
5004917,1987
5006344,1993
5012990,1984
5016609,1991
5017095,1992
5021069,1986
5021542,1986
5024233,1992
5025099,1993
5025818,1991
5026167,1992
5026516,1991
5065642,1985
5338653,1987
5338660,1987
5338666,1987
5343028,2001
5033977,1993
5036596,1984
5036645,1991
5037987,1983
5038020,1986
5038082,1990
5038097,1990
5038109,1992
5038796,1993
5038925,1992
5039707,1993
5040021,1989
5040365,1993
5041549,1993
5043479,1989
5043496,1990
5043538,1989
5057615,1993
5057923,1993
5058562,1993
5058803,1994
5059363,1996
5060305,1993
5061533,1988
5065324,1983
5067397,1986
5068723,1987
5068733,1986
5070227,1993
5071012,1986
5071023,1989
5071062,1993
5072143,1986
5073030,1992
5073188,1994
5073208,1994
5073400,1983
5073432,1983
5073436,1984
5073444,1986
5073448,1986
5073452,1986
5073456,1987
5343032,1987
5073746,1993
5073798,1984
5074432,1987
5075178,1997
5075214,1997
5075230,1998
5075236,1998
5075242,1998
5075246,1998
5075254,1998
5075260,1998
5075266,1998
5075272,1998
5075278,1998
5075282,1998
5075288,1998
5075294,1998
5075304,1996
5075306,1998
5075380,1998
5075422,1998
5075442,1997
5075452,1997
5075458,1998
5075464,1998
5075470,1998
5075482,1998
5075488,1998
5137646,1999
5075772,1997
5075818,1997
5075858,1997
5075864,1998
5075884,1997
5075936,1998
5344856,2001
5076032,1998
5076040,1997
5076054,1997
5076092,1997
5076106,1997
5076204,1998
5076246,1998
5076280,1997
5076298,1997
5076306,1997
5344861,1991
5076494,1997
5076500,1997
5076516,1997
5076564,1997
5076576,1997
5076624,1997
5076676,1998
5076682,1998
5275926,2000
5076688,1998
5076694,1998
5076700,1998
5076707,1998
5076728,1997
5344869,1991
5344876,1994
5076736,2000
5076755,1997
5076762,1997
5076790,1997
5076880,1997
5076958,1997
5077060,1998
5077084,1998
5077090,1998
5077096,1998
5077102,1998
5077108,1998
5077116,1998
5077120,1998
5077126,1998
5077130,1998
5077136,1998
5077148,1998
5077200,1997
5077246,1997
5077258,1997
5077330,1997
5077346,1998
5344881,2001
5344884,1994
5344892,1988
5077364,1998
5077382,1997
5077404,1998
5077447,1997
5077556,1998
5077562,1998
5079776,1998
5077570,1997
5077592,1997
5077718,1997
5077790,1997
5077798,1998
5077828,1997
5077858,1998
5080266,1998
5080272,1998
5080276,1998
5080282,1999
5080288,1998
5077924,1997
5077940,1997
5077962,1997
5077964,1993
5078070,1997
5078082,1997
5078120,1992
5078126,1992
5078136,1998
5078184,1998
5078190,1998
5078194,1998
5080294,1998
5080300,1998
5080306,1998
5078268,1997
5078272,1992
5078304,1997
5078366,1998
5078368,1993
5078370,1998
5078376,1998
5078382,1998
5078388,1998
5078400,1998
5078406,2001
5078412,1998
5078418,1998
5078430,1998
5078436,1998
5078448,1998
5078454,1998
5078460,1998
5078480,1997
5078494,1997
5078500,1997
5078517,1997
5078584,1999
5078640,1997
5078644,1995
5078646,1997
5080334,1997
5080340,1997
5344900,1992
5344908,1993
5078658,1997
5078694,1997
5078722,1997
5078768,1997
5078866,1997
